"serial","orthography","klattese","frequency","stratum","density"
292,"자체","zacE",6407,"sino",26
293,"생산","sEGsan",6356,"sino",6
294,"전체","z^ncE",6348,"sino",15
295,"뭐","mw",6312,"native",17
296,"거기","g^gi",6261,"sino",24
297,"거기","g^gi",6261,"native",24
298,"타","ta",6230,"sino",65
299,"법","b^b",6221,"sino",27
300,"일반","ilban",6181,"sino",12
301,"도시","dosi",6155,"sino",25
302,"이용","iOG",6108,"sino",21
303,"적","z^g",6036,"native",56
304,"가족","gazog",6024,"sino",13
305,"믿음직스레","midxmzigsxlE",6012,"native",0
306,"중심","zuGsim",6009,"sino",6
307,"표현","pOhVn",5935,"sino",2
308,"개인","gEin",5893,"sino",25
309,"가슴","gasxm",5885,"native",5
310,"마을","maxl",5841,"native",6
311,"전화","z^nhW",5833,"sino",14
312,"부분","bubun",5821,"sino",10
313,"치","ci",5784,"native",64
314,"년대","nVndE",5768,"sino",4
315,"서로","s^lo",5739,"sino",15
316,"전쟁","z^nzEG",5739,"sino",6
317,"평가","pVGga",5724,"sino",5
318,"아주","azu",5721,"sino",27
319,"아주","azu",5721,"native",27
320,"줄","zul",5718,"native",47
321,"조선","zos^n",5698,"sino",21
322,"술","sul",5651,"native",57
323,"조직","zozig",5645,"sino",11
324,"해","hE",5641,"native",70
325,"세","sE",5630,"sino",69
326,"세","sE",5630,"native",69
327,"역할","Vghal",5628,"sino",2
328,"이루","ilu",5628,"native",29
329,"나서","nas^",5593,"sino",8
330,"나서","nas^",5593,"native",8
331,"신문","sinmun",5576,"sino",7
332,"의원","Iwn",5571,"sino",12
333,"분","bun",5567,"sino",50
334,"나누어떨어짐","nanu^D^l^zim",5557,"native",0
335,"길","gil",5551,"sino",55
336,"만큼","mankxm",5547,"native",0
337,"대부분","dEbubun",5541,"sino",0
338,"선거","s^ng^",5539,"sino",11
339,"향하","hAGha",5511,"sino",6
340,"기관","gigWn",5510,"sino",12
341,"터","t^",5498,"native",34
342,"체제","cEzE",5490,"sino",15
343,"열리","Vlli",5477,"sino",7
344,"사업","sa^b",5455,"sino",6
345,"아내","anE",5401,"native",32
346,"국내","gugnE",5391,"sino",8
347,"국제","gugzE",5389,"sino",13
348,"오히려","ohilV",5352,"native",0
349,"구성","gus^G",5350,"sino",20
350,"현상","hVnsaG",5340,"sino",6
351,"아들","adxl",5335,"native",2
352,"순간","sungan",5326,"sino",7
353,"아래","alE",5311,"native",30
354,"아침","acim",5295,"native",9
355,"금융","gxmUG",5264,"sino",0
356,"인식","insig",5262,"sino",10
357,"작가","zagga",5253,"sino",8
358,"예술","Jsul",5247,"sino",9
359,"지원","ziwn",5240,"sino",16
360,"지방","zibaG",5240,"sino",17
361,"바","ba",5240,"native",57
362,"달","dal",5225,"native",43
363,"기능","ginxG",5212,"sino",6
364,"세우","sEu",5206,"native",28
365,"생명","sEGmVG",5205,"sino",4
366,"언론","^nlon",5191,"sino",1
367,"하늘","hanxl",5161,"native",6
368,"남","nam",5144,"native",47
369,"하루","halu",5124,"native",20
370,"노력","nolVg",5107,"sino",6
371,"일부","ilbu",5085,"sino",11
372,"이제","izE",5057,"native",34
373,"측","cxg",5052,"sino",18
374,"고개","gogE",5048,"native",30
375,"방식","baGsig",5040,"sino",8
376,"통일","toGil",5040,"sino",6
377,"확인","hWgin",5007,"sino",13
378,"세기","sEgi",4984,"sino",33
379,"은행","xnhEG",4977,"sino",4
380,"결혼","gVlhon",4958,"sino",2
381,"나무","namu",4951,"native",23
382,"각","gag",4945,"sino",67
383,"문","mun",4943,"sino",49
384,"컴퓨터","k^mpUt^",4897,"foreign",1
385,"행위","hEG&",4883,"sino",2
386,"정말","z^Gmal",4879,"sino",6
387,"대답","dEdab",4875,"sino",6
388,"발표","balpO",4855,"sino",3
389,"혼자","honza",4845,"native",10
390,"기록","gilog",4839,"sino",5
391,"방송","baGsoG",4833,"sino",4
392,"놈","nom",4816,"native",34
393,"개혁","gEhVg",4790,"sino",2
394,"마시","masi",4781,"sino",23
395,"마시","masi",4781,"native",23
396,"준비","zunbi",4776,"sino",9
397,"기억","gi^g",4771,"sino",8
398,"발견","balgVn",4770,"sino",3
399,"작업","zag^b",4744,"sino",6
400,"입장","ibzaG",4740,"sino",14
401,"옆","Vp",4713,"native",23
402,"형","hVG",4704,"sino",27
403,"다양","daAG",4688,"sino",11
404,"노래","nolE",4682,"native",14
405,"행동","hEGdoG",4680,"sino",2
406,"수준","suzun",4674,"sino",9
407,"해결","hEgVl",4670,"sino",6
408,"마치","maci",4658,"sino",24
409,"마치","maci",4658,"native",24
410,"가치","gaci",4653,"sino",25
411,"규모","gUmo",4634,"sino",4
412,"예","J",4633,"sino",42
413,"계속","gJsog",4631,"sino",6
414,"그림","gxlim",4614,"native",10
415,"새","sE",4599,"sino",69
416,"새","sE",4599,"native",69
417,"전통","z^ntoG",4589,"sino",7
418,"투자","tuza",4587,"sino",9
419,"능력","nxGlVg",4557,"sino",1
420,"이론","ilon",4555,"sino",15
421,"얼마","^lma",4555,"native",5
422,"옷","os",4550,"native",22
423,"꿈","Qum",4524,"native",12
424,"과거","gWg^",4523,"sino",5
425,"매우","mEu",4507,"sino",27
426,"매우","mEu",4507,"native",27
427,"우선","us^n",4490,"sino",14
428,"우선","us^n",4490,"native",14
429,"집단","zibdan",4476,"sino",5
430,"대","dE",4476,"sino",74
431,"바꾸","baQu",4460,"native",5
432,"그리","gxli",4410,"native",29
433,"포함","poham",4407,"sino",3
434,"부모","bumo",4395,"sino",14
435,"상대","saGdE",4393,"sino",17
436,"영향","VGhAG",4363,"sino",3
437,"광고","gWGgo",4360,"sino",6
438,"경험","gVGh^m",4350,"sino",1
439,"비하","biha",4338,"sino",11
440,"차","ca",4260,"sino",61
441,"경찰","gVGcal",4254,"sino",2
442,"후보","hubo",4252,"sino",9
443,"분석","buns^g",4252,"sino",3
444,"기대","gidE",4245,"sino",20
445,"언어","^n^",4244,"sino",18
446,"비롯","bilos",4243,"native",3
447,"발생","balsEG",4224,"sino",6
448,"배우","bEu",4219,"sino",30
449,"책임","cEgim",4203,"sino",2
450,"표정","pOz^G",4182,"sino",7
451,"나이","nai",4180,"native",33
452,"어리","^li",4177,"sino",41
453,"전하","z^nha",4167,"sino",17
454,"공부","goGbu",4150,"sino",15
455,"꼭","Qog",4146,"native",37
456,"마지막","mazimag",4146,"native",1
457,"꽃","Qoc",4136,"native",4
458,"면","mVn",4130,"sino",33
459,"마찬가지","macangazi",4116,"native",0
460,"유지","Uzi",4107,"sino",27
461,"비판","bipan",4099,"sino",6
462,"관리","gWnli",4091,"sino",5
463,"분야","bunA",4083,"sino",7
464,"갑자기","gabzagi",4083,"native",1
465,"인물","inmul",4079,"sino",7
466,"환자","hWnza",4068,"sino",6
467,"바다","bada",4062,"native",11
468,"확대","hWgdE",4053,"sino",5
469,"첫","c^s",4053,"native",24
470,"분명","bunmVG",4049,"sino",5
471,"강조","gaGzo",4047,"sino",15
472,"동시","doGsi",4044,"sino",16
473,"미","mi",4043,"sino",66
474,"미","mi",4043,"native",66
475,"불","bul",4031,"native",53
476,"산","san",4030,"sino",80
